EmployeeID,EmployeeName,Role,StoreID,HireDate
E0049,Empleado 049,Vendedor,S1019,2019-04-21
E0050,Empleado 050,Vendedor,S1043,2025-02-10
E0051,Empleado 051,Supervisor,S1001,2020-03-02
E0052,Empleado 052,Analista Comercial,S1045,2021-02-23
E0053,Empleado 053,Gerente de Tienda,S1040,2020-08-03
E0054,Empleado 054,Vendedor,S1035,2021-10-10
E0055,Empleado 055,Vendedor,S1014,2021-02-18
E0056,Empleado 056,Analista Comercial,S1005,2018-10-01
E0057,Empleado 057,Analista Comercial,S1038,2021-11-10
E0058,Empleado 058,Supervisor,S1044,2025-07-08
E0059,Empleado 059,Gerente de Tienda,S1016,2021-01-20
E0060,Empleado 060,Analista Comercial,S1004,2024-02-22
E0061,Empleado 061,Analista Comercial,S1042,2020-01-23
E0062,Empleado 062,Vendedor,S1004,2022-12-05
E0063,Empleado 063,Analista Comercial,S1013,2018-04-21
E0064,Empleado 064,Supervisor,S1019,2018-03-15
E0065,Empleado 065,Analista Comercial,S1044,2024-02-15
E0066,Empleado 066,Gerente de Tienda,S1022,2018-08-31
E0067,Empleado 067,Supervisor,S1030,2018-12-09
E0068,Empleado 068,Supervisor,S1036,2022-01-21
E0069,Empleado 069,Supervisor,S1040,2022-10-31
E0070,Empleado 070,Vendedor,S1018,2020-11-07
E0071,Empleado 071,Vendedor,S1022,2024-03-02
E0072,Empleado 072,Supervisor,S1004,2021-12-02
E0073,Empleado 073,Analista Comercial,S1035,2023-05-08
E0074,Empleado 074,Analista Comercial,S1039,2019-10-11
E0075,Empleado 075,Gerente de Tienda,S1012,2023-12-10
E0076,Empleado 076,Supervisor,S1044,2018-07-16
E0077,Empleado 077,Supervisor,S1019,2019-04-25
E0078,Empleado 078,Supervisor,S1025,2024-07-11
E0079,Empleado 079,Gerente de Tienda,S1004,2021-08-07
E0080,Empleado 080,Supervisor,S1021,2020-10-18
E0081,Empleado 081,Analista Comercial,S1015,2018-05-26
E0082,Empleado 082,Analista Comercial,S1031,2023-07-02
E0083,Empleado 083,Supervisor,S1012,2019-02-11
E0084,Empleado 084,Analista Comercial,S1018,2025-02-24
E0085,Empleado 085,Analista Comercial,S1003,2023-05-24
E0086,Empleado 086,Vendedor,S1026,2023-12-05
E0087,Empleado 087,Supervisor,S1041,2018-01-06
E0088,Empleado 088,Supervisor,S1032,2022-12-23
E0089,Empleado 089,Supervisor,S1035,2021-05-31
E0090,Empleado 090,Gerente de Tienda,S1039,2019-06-19
E0091,Empleado 091,Gerente de Tienda,S1034,2022-07-14
E0092,Empleado 092,Supervisor,S1020,2024-06-30
E0093,Empleado 093,Gerente de Tienda,S1013,2019-06-16
E0094,Empleado 094,Gerente de Tienda,S1016,2018-06-11
E0095,Empleado 095,Gerente de Tienda,S1033,2023-11-02
E0096,Empleado 096,Analista Comercial,S1019,2024-09-19
E0097,Empleado 097,Analista Comercial,S1041,2021-02-06
E0098,Empleado 098,Supervisor,S1039,2022-04-29
E0099,Empleado 099,Gerente de Tienda,S1018,2023-11-19
E0100,Empleado 100,Supervisor,S1020,2023-09-16
